Kateg¢riaazonos°t¢;Kateg¢ria;ID;MegnevezÇs;MegnevezÇs a nyugt†n;Cikksz†m;Vonalk¢d;Elad†si †r, Ft;BeszerzÇsi †r, Ft;MÇrÇsi egysÇg ÇrtÇkes°tÇskor;MÇrtÇkegysÇg felhaszn†l†skor;Felhaszn†lhat¢ menyisÇgi egysÇg (KiszerelÇs);Nett¢ tîmeg, g.;Brutt¢ tîmeg, g.;Kritikus mennyisÇg;Kiv†nt mennyisÇg;MegjegyzÇs
289877;BlondMe HajfestÇkek;6933806;BlondMe Elãh°v¢: BM PrÇmium elãh°v¢ 9%;;2140318;;5282;4063;db.;ml;1000;0;0;0;0;
289877;BlondMe HajfestÇkek;6933807;BlondMe HajfestÇk: BM B-Cool szãk°tãadalÇk;;2140322;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933808;BlondMe HajfestÇk: BM B-RosÇ szãk°tãadalÇk;;2143136;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933809;BlondMe HajfestÇk: BM H-Hideg RosÇ;;2140302;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933810;BlondMe HajfestÇk: BM H-Meleg Arany;;2140304;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933811;BlondMe HajfestÇk: BM L-AcÇlkÇk;;2140314;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933812;BlondMe HajfestÇk: BM L-Ash;;2377959;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933813;BlondMe HajfestÇk: BM L-Clear;;2377953;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933814;BlondMe HajfestÇk: BM L-Homok;;2140312;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933815;BlondMe HajfestÇk: BM L-Ice-Iris;;2377949;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933816;BlondMe HajfestÇk: BM L-JÇg;;2140319;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933817;BlondMe HajfestÇk: BM Paint-on szãk°tãkrÇm;;2143683;;10235;7873;db.;ml;250;0;0;0;0;
289877;BlondMe HajfestÇkek;6933818;BlondMe HajfestÇk: BM T-AcÇlkÇk;;2140294;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933819;BlondMe HajfestÇk: BM T-Barack;;2140299;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933820;BlondMe HajfestÇk: BM T-Eper;;2140295;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933821;BlondMe HajfestÇk: BM T-Homok;;2140296;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933822;BlondMe HajfestÇk: BM T-JÇg;;2140602;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933823;BlondMe HajfestÇk: BM T-Karamell;;2140297;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933824;BlondMe HajfestÇk: BM T-Orgona;;2140298;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933825;BlondMe HajfestÇk: BM W-Homok;;2140310;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933826;BlondMe HajfestÇk: BM W-÷risz;;2143849;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933827;BlondMe HajfestÇk: BM W-JÇg;;2140308;;4126;3174;db.;ml;60;0;0;0;0;
289877;BlondMe HajfestÇkek;6933828;BlondMe HajfestÇk: BM W-Karamell;;2140306;;4126;3174;db.;ml;60;0;0;0;0;
289876;BlondMe;6933829;BlondMe maszk: BM Hidegszãke maszk;;2256592;;6490;4952;db.;ml;200;0;0;0;0;
